metric,sample_a,sample_b,distance
gower,s2,s5,0.0019997100689821048
bray_curtis,s2,s6,0.5319148936170213
euclidean,s2,s6,9.643650760992955
jaccard,s2,s6,0.5555555555555556
soergel,s2,s6,0.6944444444444444
morisita_horn,s2,s6,0.42192227135210614
pearson,s2,s6,0.8524736780005574
chisq,s2,s6,1.290680885329442
gower,s2,s6,0.0024997300489901023
bray_curtis,s2,s7,0.9995201103746139
euclidean,s2,s7,31614.872686759314
jaccard,s2,s7,0.4
soergel,s2,s7,0.999759997599976
morisita_horn,s2,s7,0.3656747178185371
pearson,s2,s7,1.3839051751771025
chisq,s2,s7,1.0736837786301565
gower,s2,s7,9.996400589865035
bray_curtis,s2,s8,0.9995201103746139
euclidean,s2,s8,31614.871295009252
jaccard,s2,s8,0.4
soergel,s2,s8,0.999759997599976
morisita_horn,s2,s8,0.3655399175265942
pearson,s2,s8,0.19981646006263065
chisq,s2,s8,1.0734858629304447
gower,s2,s8,9.996400499894024
bray_curtis,s3,s4,0.8666666666666667
euclidean,s3,s4,14.866068747318506
jaccard,s3,s4,0.7
soergel,s3,s4,0.9285714285714286
morisita_horn,s3,s4,0.8945562964862785
pearson,s3,s4,1.5174745314974172
chisq,s3,s4,2.0878197731043198
gower,s3,s4,0.0038997000599874025
bray_curtis,s3,s5,0.6
euclidean,s3,s5,11.135528725660043
jaccard,s3,s5,0.5555555555555556
soergel,s3,s5,0.75
morisita_horn,s3,s5,0.6263367582302369
pearson,s3,s5,1.063463742101953
chisq,s3,s5,1.7455210339994554
gower,s3,s5,0.0023996200759836034
bray_curtis,s3,s6,0.6444444444444445
euclidean,s3,s6,10.535653752852738
jaccard,s3,s6,0.4444444444444444
soergel,s3,s6,0.7837837837837838
morisita_horn,s3,s6,0.5286182739603518
pearson,s3,s6,1.0112470041268133
chisq,s3,s6,1.4886452486592994
gower,s3,s6,0.002899620081980605
bray_curtis,s3,s7,0.9995600923806001
euclidean,s3,s7,31615.504092138086
jaccard,s3,s7,0.3
soergel,s3,s7,0.999779997799978
morisita_horn,s3,s7,0.4111381535875739
pearson,s3,s7,0.43487161759396853
chisq,s3,s7,1.181598223964671
gower,s3,s7,9.99660055987403
bray_curtis,s3,s8,0.9995600923806001
euclidean,s3,s8,31615.505230819894
jaccard,s3,s8,0.3
soergel,s3,s8,0.999779997799978
morisita_horn,s3,s8,0.4112157723618953
pearson,s3,s8,1.1865998864806055
chisq,s3,s8,1.1817097391385705
gower,s3,s8,9.99660046990302
bray_curtis,s4,s5,0.9024390243902439
euclidean,s4,s5,13.527749258468683
jaccard,s4,s5,0.8
soergel,s4,s5,0.9487179487179487
morisita_horn,s4,s5,0.8632438299277996
pearson,s4,s5,1.449388101655905
chisq,s4,s5,2.0661973473850757
gower,s4,s5,0.003699740045990802
bray_curtis,s4,s6,0.5652173913043478
euclidean,s4,s6,11.135528725660043
jaccard,s4,s6,0.375
soergel,s4,s6,0.7222222222222222
morisita_horn,s4,s6,0.5486725663716814
pearson,s4,s6,1.0331350046669774
chisq,s4,s6,1.5310378654923975
gower,s4,s6,0.0025997400639830048
bray_curtis,s4,s7,0.999540101177741
euclidean,s4,s7,31615.189165968943
jaccard,s4,s7,0.4
soergel,s4,s7,0.999769997699977
morisita_horn,s4,s7,0.42472660493418335
pearson,s4,s7,1.4086422185275411
chisq,s4,s7,1.2151472186157926
gower,s4,s7,9.996500279932018
bray_curtis,s4,s8,0.999540101177741
euclidean,s4,s8,31615.189577163696
jaccard,s4,s8,0.4
soergel,s4,s8,0.999769997699977
morisita_horn,s4,s8,0.4247416155575121
pearson,s4,s8,1.428091167989617
chisq,s4,s8,1.2151686965670112
gower,s4,s8,9.996500189961008
bray_curtis,s5,s6,0.8048780487804879
euclidean,s5,s6,12.206555615733702
jaccard,s5,s6,0.7
soergel,s5,s6,0.8918918918918919
morisita_horn,s5,s6,0.8527496580027359
pearson,s5,s6,1.6344155448085116
chisq,s5,s6,1.9070398143536431
gower,s5,s6,0.003299560093977006
bray_curtis,s5,s7,0.9996400611895978
euclidean,s5,s7,31616.769300483564
jaccard,s5,s7,0.4
soergel,s5,s7,0.999819998199982
morisita_horn,s5,s7,0.42348498532172374
pearson,s5,s7,0.9733279983994665
chisq,s5,s7,1.2120257986761245
gower,s5,s7,9.99700039991602
bray_curtis,s5,s8,0.9996400611895978
euclidean,s5,s8,31616.769173968423
jaccard,s5,s8,0.4
soergel,s5,s8,0.999819998199982
morisita_horn,s5,s8,0.4234497559796385
pearson,s5,s8,0.7018185776931695
chisq,s5,s8,1.2119753949232095
gower,s5,s8,9.99700030994501
bray_curtis,s6,s7,0.999540101177741
euclidean,s6,s7,31615.188311949052
jaccard,s6,s7,0.3
soergel,s6,s7,0.999769997699977
morisita_horn,s6,s7,0.28467263519963537
pearson,s6,s7,1.2375214592196677
chisq,s6,s7,0.8921435044433499
gower,s6,s7,9.996500539868036
bray_curtis,s6,s8,0.999540101177741
euclidean,s6,s8,31615.188122166852
jaccard,s6,s8,0.3
soergel,s6,s8,0.999769997699977
morisita_horn,s6,s8,0.2846322056529944
pearson,s6,s8,0.8307215972373141
chisq,s6,s8,0.8920801523763112
gower,s6,s8,9.996500449897026
bray_curtis,s7,s8,0.00012000120001200012
euclidean,s7,s8,8.48528137423857
jaccard,s7,s8,0.0
soergel,s7,s8,0.0002399736029036806
morisita_horn,s7,s8,3.600071896148194e-08
pearson,s7,s8,1.405034971560564
chisq,s7,s8,0.00026832099603075853
gower,s7,s8,0.0023996700769805053
