t,df,sf
7.5,3,0.002455487462994151
10.0,3,0.0010641995292070751
20.0,3,0.0001366016251236558
50.0,3,8.808576020635984e-06
100.0,3,1.1022609615924553e-06
1000.0,3,1.102653821288296e-09
100000.0,3,1.1026577904466273e-15
10000000000.0,3,1.1026577908435839e-30
-0.5,3,0.6742760175759245
-1.0,3,0.8044988905221148
-2.0,3,0.9303370157205785
-5.0,3,0.9923037809633488
-100.0,3,0.9999988977390384
0.0,4,0.5
1e-12,4,0.499999999999625
1e-08,4,0.49999999625
0.0001,4,0.49996250000007814
0.001,4,0.499625000078125
0.01,4,0.49625007812294925
0.1,4,0.4625779204697266
0.5,4,0.32166498159093165
1.0,4,0.18695048315002943
1.5,4,0.104
2.0,4,0.05805826175840778
2.5,4,0.03338327240599407
3.0,4,0.019970984035859413
4.0,4,0.008065044950046273
5.0,4,0.0037452169406372625
7.5,4,0.0008454357661611488
10.0,4,0.0002810018113579955
20.0,4,1.8441552901498655e-05
50.0,4,4.787226828484845e-07
100.0,4,2.99800104949623e-08
1000.0,4,2.999980000104999e-12
100000.0,4,2.9999999979999997e-20
10000000000.0,4,2.9999999999999994e-40
-0.5,4,0.6783350184090684
-1.0,4,0.8130495168499705
-2.0,4,0.9419417382415922
-5.0,4,0.9962547830593628
-100.0,4,0.9999999700199895
0.0,5,0.5
1e-12,5,0.4999999999996204
1e-08,5,0.4999999962039331
0.0001,5,0.4999620393310937
0.001,5,0.4996203933860988
0.01,5,0.49620400902129097
0.1,5,0.4621150705773302
0.5,5,0.31914943582046457
1.0,5,0.18160873382456144
1.5,5,0.09695184012123664
2.0,5,0.050969739414929174
2.5,5,0.02724504967118813
3.0,5,0.015049623948731293
4.0,5,0.005161707740415725
5.0,5,0.0020523579900266617
7.5,5,0.0003331266244830902
10.0,5,8.547378787148181e-05
20.0,5,2.887758186612087e-06
50.0,5,3.0238788133006125e-08
100.0,5,9.48000711231182e-10
1000.0,5,9.49006556598986e-15
100000.0,5,9.490167235394329e-25
10000000000.0,5,9.490167245562365e-50
-0.5,5,0.6808505641795355
-1.0,5,0.8183912661754386
-2.0,5,0.9490302605850708
-5.0,5,0.9979476420099733
-100.0,5,0.9999999990519993
0.0,6,0.5
1e-12,6,0.49999999999961725
1e-08,6,0.49999999617267227
0.0001,6,0.49996172672284345
0.001,6,0.49961726730211037
0.01,6,0.49617274669548816
0.1,6,0.4618009759493958
0.5,6,0.31744
1.0,6,0.1779588418747911
1.5,6,0.09214036807074101
2.0,6,0.04621315576583756
2.5,6,0.02326411614208365
3.0,6,0.012004098377865468
4.0,6,0.0035594889818740504
5.0,6,0.0012261708803792755
7.5,6,0.0001452828730756478
10.0,6,2.8959913774768117e-05
20.0,6,5.071276375849787e-07
50.0,6,2.1464505717275717e-09
100.0,6,3.3696901106169244e-11
1000.0,6,3.3749468443240815e-17
100000.0,6,3.374999994684374e-29
10000000000.0,6,3.3750000000000003e-59
-0.5,6,0.6825600000000001
-1.0,6,0.822041158125209
-2.0,6,0.9537868442341625
-5.0,6,0.9987738291196208
-100.0,6,0.9999999999663031
0.0,7,0.5
1e-12,7,0.49999999999961503
1e-08,7,0.4999999961500855
0.0001,7,0.49996150085499014
0.001,7,0.4996150086224994
0.01,7,0.49615015882181085
0.1,7,0.4615740298023962
0.5,7,0.3162035678446422
1.0,7,0.1753083314101037
1.5,7,0.088649243494985
2.0,7,0.042809664281488025
2.5,7,0.020496109292876444
3.0,7,0.009971063065996268
4.0,7,0.0025949566746484064
5.0,7,0.0007826389765864124
7.5,7,6.865191535763901e-05
10.0,7,1.0697101445386401e-05
20.0,7,9.774413554001994e-08
50.0,7,1.67562629777502e-10
100.0,7,1.3176489885215525e-12
1000.0,7,1.3204919187605935e-19
100000.0,7,1.3205206734788766e-33
10000000000.0,7,1.320520676354677e-68
-0.5,7,0.6837964321553578
-1.0,7,0.8246916685898963
-2.0,7,0.957190335718512
-5.0,7,0.9992173610234136
-100.0,7,0.9999999999986824
0.0,8,0.5
1e-12,8,0.4999999999996133
1e-08,8,0.49999999613300977
0.0001,8,0.4999613300979764
0.001,8,0.49961330105154467
0.01,8,0.49613308229495706
0.1,8,0.4614024547152985
0.5,8,0.3152680377784882
1.0,8,0.17329675354366708
1.5,8,0.08600164597595561
2.0,8,0.04025811897863131
2.5,8,0.01847101885681206
3.0,8,0.008535840616891326
4.0,8,0.0019748864017226616
5.0,8,0.0005264128966832699
7.5,8,3.4638724952539754e-05
10.0,8,4.2440907638142445e-06
20.0,8,2.036959164337461e-08
50.0,8,1.4172053225458924e-11
100.0,8,5.5839015241279866e-14
1000.0,8,5.599838722956751e-22
100000.0,8,5.599999983872002e-38
10000000000.0,8,5.599999999999999e-78
-0.5,8,0.6847319622215118
-1.0,8,0.8267032464563329
-2.0,8,0.9597418810213687
-5.0,8,0.9994735871033167
-100.0,8,0.9999999999999442
0.0,9,0.5
1e-12,9,0.499999999999612
1e-08,9,0.4999999961196509
0.0001,9,0.4999611965091847
0.001,9,0.49961196516298667
0.01,9,0.49611972276816263
0.1,9,0.4612682239783406
0.5,9,0.31453564991301314
1.0,9,0.1717181980689568
1.5,9,0.08392532802853753
2.0,9,0.038276411885350504
2.5,9,0.016930913841492867
3.0,9,0.007478181955207111
4.0,9,0.0015552141551929272
5.0,9,0.0003694839549016213
7.5,9,1.8463706308293918e-05
10.0,9,1.789118715962368e-06
20.0,9,4.539760649958273e-09
50.0,9,1.2844764554373988e-12
100.0,9,2.536544883104282e-15
1000.0,9,2.5458033039484705e-24
100000.0,9,2.5458970277334902e-42
10000000000.0,9,2.545897037107018e-87
-0.5,9,0.6854643500869868
-1.0,9,0.8282818019310432
-2.0,9,0.9617235881146495
-5.0,9,0.9996305160450983
-100.0,9,0.9999999999999974
0.0,10,0.5
1e-12,10,0.49999999999961087
1e-08,10,0.49999999610891616
0.0001,10,0.49996108916167475
0.001,10,0.4996108916873705
0.01,10,0.4961089874954857
0.1,10,0.4611603592822041
0.5,10,0.3139468028714865
1.0,10,0.17044656615103
1.5,10,0.08225366322272007
2.0,10,0.03669401738537018
2.5,10,0.01572342211830441
3.0,10,0.006671827511284785
4.0,10,0.0012591663123683473
5.0,10,0.00026866680137822634
7.5,10,1.0313985480590903e-05
10.0,10,7.947765877982062e-07
20.0,10,1.0730311586021261e-09
50.0,10,1.23715516465134e-13
100.0,10,1.224844777709915e-16
1000.0,10,1.2304123550866357e-26
100000.0,10,1.230468744360351e-46
10000000000.0,10,1.2304687500000003e-96
-0.5,10,0.6860531971285135
-1.0,10,0.8295534338489701
-2.0,10,0.9633059826146299
-5.0,10,0.9997313331986217
-100.0,10,0.9999999999999999
0.0,12,0.5
1e-12,12,0.49999999999960926
1e-08,12,0.49999999609273693
0.0001,12,0.4999609273695483
0.001,12,0.4996092737653247
0.01,12,0.4960928074942518
0.1,12,0.4609977852284129
0.5,12,0.31305873811266205
1.0,12,0.16852452897679226
1.5,12,0.07972875175660343
2.0,12,0.03432750701904298
2.5,12,0.01395769978566262
3.0,12,0.005533347843016845
4.0,12,0.0008808481221975133
5.0,12,0.0001546556056419444
7.5,12,3.6168356423619433e-06
10.0,12,1.7906618438361868e-07
20.0,12,6.973942996255745e-11
50.0,12,1.3432062813441246e-15
100.0,12,3.345551042802745e-19
1000.0,12,3.3677548353459407e-31
100000.0,12,3.367979977482648e-55
10000000000.0,12,3.3679800000000006e-115
-0.5,12,0.686941261887338
-1.0,12,0.8314754710232077
-2.0,12,0.965672492980957
-5.0,12,0.999845344394358
-100.0,12,1.0
0.0,15,0.5
1e-12,15,0.49999999999960765
1e-08,15,0.4999999960764684
0.0001,15,0.49996076468378575
0.001,15,0.49960764690691156
0.01,15,0.4960765381220171
0.1,15,0.4608343100353805
0.5,15,0.3121650567600378
1.0,15,0.1665850679577382
1.5,15,0.07718333019085012
2.0,15,0.031972503642360074
2.5,15,0.012252901623256913
3.0,15,0.004486368738611663
4.0,15,0.0005796584248805579
5.0,15,7.918475731101357e-05
7.5,15,9.444269302354022e-07
10.0,15,2.4984490714624702e-08
20.0,15,1.577596276745218e-12
50.0,15,2.105847312308952e-18
100.0,15,6.633167789718056e-23
1000.0,15,6.703011855261096e-38
100000.0,15,6.703721547232317e-68
10000000000.0,15,6.703721618212894e-143
-0.5,15,0.6878349432399622
-1.0,15,0.8334149320422618
-2.0,15,0.96802749635764
-5.0,15,0.9999208152426889
-100.0,15,1.0
0.0,20,0.5
1e-12,20,0.49999999999960604
1e-08,20,0.49999999606011414
0.0001,20,0.4999606011414978
0.001,20,0.4996060114832366
0.01,20,0.49606018308969885
0.1,20,0.4606699706728069
0.5,20,0.3112659211405118
1.0,20,0.16462828858585468
1.5,20,0.07461788558462623
2.0,20,0.02963276772328522
2.5,20,0.01061677271956619
3.0,20,0.0035379493956055447
4.0,20,0.00035176164656415933
5.0,20,3.4365142897710985e-05
7.5,20,1.556501626595942e-07
10.0,20,1.5818908793571928e-09
20.0,20,5.399932267105235e-15
50.0,20,8.766690224621138e-23
100.0,20,8.850866108962528e-29
1000.0,20,9.019566997945734e-49
100000.0,20,9.021288890275379e-89
10000000000.0,20,9.021289062499986e-189
-0.5,20,0.6887340788594882
-1.0,20,0.8353717114141453
-2.0,20,0.9703672322767147
-5.0,20,0.9999656348571023
-100.0,20,1.0
0.0,25,0.5
1e-12,25,0.49999999999960504
1e-08,25,0.49999999605026213
0.0001,25,0.4999605026211048
0.001,25,0.4996050262788257
0.01,25,0.4960503305646088
0.1,25,0.46057096830762817
0.5,25,0.31072389259511435
1.0,25,0.16344595634592077
1.5,25,0.07306923256900964
2.0,25,0.0282379902134486
2.5,25,0.009671563784971355
3.0,25,0.0030190897825717474
4.0,25,0.0002477218352660437
5.0,25,1.863553740722698e-05
7.5,25,3.732591444238544e-08
10.0,25,1.6032054604462597e-10
20.0,25,3.38182552800428e-17
50.0,25,7.00778991550897e-27
100.0,25,2.2845233512170936e-34
1000.0,25,2.353518910088938e-59
100000.0,25,2.3542271718423105e-109
10000000000.0,25,2.3542272426871155e-234
-0.5,25,0.6892761074048857
-1.0,25,0.8365540436540793
-2.0,25,0.9717620097865514
-5.0,25,0.9999813644625928
-100.0,25,1.0
0.0,30,0.5
1e-12,30,0.49999999999960437
1e-08,30,0.4999999960436782
0.0001,30,0.49996043678157875
0.001,30,0.49960436788324253
0.01,30,0.49604374628658887
0.1,30,0.4605048058951356
0.5,30,0.3103615024425636
1.0,30,0.1626543077130151
1.5,30,0.072032964564323
2.0,30,0.027312522481491547
2.5,30,0.009057824534033344
3.0,30,0.0026949820328259727
4.0,30,0.0001909228180418782
5.0,30,1.16483427335039e-05
7.5,30,1.161462450275522e-08
10.0,30,2.287625704114809e-11
20.0,30,3.3745418328856447e-19
50.0,30,9.357708829611355e-31
100.0,30,9.923058983635155e-40
1000.0,30,1.0360017415558664e-69
100000.0,30,1.0364534200733127e-129
10000000000.0,30,1.0364534652562063e-279
-0.5,30,0.6896384975574363
-1.0,30,0.8373456922869849
-2.0,30,0.9726874775185085
-5.0,30,0.9999883516572665
-100.0,30,1.0
0.0,50,0.5
1e-12,50,0.49999999999960304
1e-08,50,0.4999999960304732
0.0001,50,0.49996030473209435
0.001,50,0.49960304738775085
0.01,50,0.4960305406835715
0.1,50,0.460372106826485
0.5,50,0.3096342837558857
1.0,50,0.16106282255012216
1.5,50,0.06995141242921354
2.0,50,0.02547353436884662
2.5,50,0.007872479136560001
3.0,50,0.0021008515935341207
4.0,50,0.00010459512318201668
5.0,50,3.7166061236162897e-06
7.5,50,4.968686720482965e-10
10.0,50,8.038667344167724e-14
20.0,50,8.274260973719827e-26
50.0,50,1.1591310411197528e-44
100.0,50,1.4804494460126204e-59
1000.0,50,1.670980682811975e-109
100000.0,50,1.6730302407549894e-209
10000000000.0,50,0.0
-0.5,50,0.6903657162441144
-1.0,50,0.8389371774498778
-2.0,50,0.9745264656311534
-5.0,50,0.9999962833938764
-100.0,50,1.0
0.0,100,0.5
1e-12,100,0.49999999999960204
1e-08,100,0.49999999602053813
0.0001,100,0.4999602053813734
0.001,100,0.49960205388005174
0.01,100,0.49602060511721424
0.1,100,0.4602722655479256
0.5,100,0.3090867829154433
1.0,100,0.15986207789206167
1.5,100,0.06838252906234442
2.0,100,0.024106089365566824
2.5,100,0.007022894562038586
3.0,100,0.0017039576716647233
4.0,100,6.0761822150380886e-05
5.0,100,1.225086706751901e-06
7.5,100,1.3286199631860367e-11
10.0,100,4.950844492297065e-17
20.0,100,4.9971339306685015e-37
50.0,100,7.236081839880732e-73
100.0,100,2.4314972222697425e-102
1000.0,100,3.9598093039739577e-202
100000.0,100,0.0
10000000000.0,100,0.0
-0.5,100,0.6909132170845567
-1.0,100,0.8401379221079384
-2.0,100,0.9758939106344332
-5.0,100,0.9999987749132933
-100.0,100,1.0
0.0,1000,0.5
1e-12,1000,0.49999999999960115
1e-08,1000,0.4999999960115744
0.0001,1000,0.49996011574433513
0.001,1000,0.4996011575092264
0.01,1000,0.4960116409660936
0.1,1000,0.46018218451180204
0.5,1000,0.30859254041693734
1.0,1000,0.15877620904233627
1.5,1000,0.06696501941104313
2.0,1000,0.02288517324662583
2.5,1000,0.0062892839005454036
3.0,1000,0.0013833545221190963
4.0,1000,3.400495960439082e-05
5.0,1000,3.3836281823243174e-07
7.5,1000,7.028646730605816e-14
10.0,1000,8.335351479300069e-23
20.0,1000,2.0311442497624087e-75
50.0,1000,1.379336206162586e-274
100.0,1000,0.0
1000.0,1000,0.0
100000.0,1000,0.0
10000000000.0,1000,0.0
-0.5,1000,0.6914074595830626
-1.0,1000,0.8412237909576638
-2.0,1000,0.9771148267533741
-5.0,1000,0.9999996616371818
-100.0,1000,1.0
7071067811.865476,1,4.50158158078553e-11
12247448713.91589,3,6.002108774380709e-31
14142135623.730951,4,7.499999999999996e-41
15811388300.841896,5,9.603374039009134e-51
17320508075.688774,6,1.2499999999999992e-60
18708286933.869705,7,1.6462926924015666e-70
20000000000.0,8,2.1874999999999994e-80
21213203435.596424,9,2.9267425642694515e-90
22360679774.9979,10,3.937499999999993e-100
24494897427.83178,12,7.218750000000012e-120
27386127875.258305,15,1.8338191171926045e-149
31622776601.683792,20,9.021289062500012e-199
35355339059.32738,25,4.575865160382708e-248
38729833462.074165,30,2.3669055175781346e-297
50000000000.0,50,0.0
70710678118.65475,100,0.0
223606797749.97897,1000,0.0
